hostel,date,day,rooms_available,price_ils,min_nights
"אנ""א אגרון - ירושלים",2026-07-01,Wednesday,5,498.998,1
"אנ""א בית שאן",2026-07-01,Wednesday,5,700.0,2
"אנ""א חיפה",2026-07-01,Wednesday,5,399.996,1
"אנ""א כרי דשא - כנרת",2026-07-01,Wednesday,5,700.0,2
"אנ""א מעיין חרוד",2026-07-01,Wednesday,5,650.003,1
"אנ""א מצדה",2026-07-01,Wednesday,5,600.006,1
"אנ""א מצפה רמון",2026-07-01,Wednesday,5,650.003,1
"אנ""א עין גדי",2026-07-01,Wednesday,5,399.996,1
"אנ""א פוריה - כנרת",2026-07-01,Wednesday,5,700.0,1
"אנ""א פקיעין",2026-07-01,Wednesday,5,498.998,1
"אנ""א שלומי",2026-07-01,Wednesday,5,650.003,1
"אנ""א תל אביב",2026-07-01,Wednesday,5,553.998,1
"אנ""א אגרון - ירושלים",2026-07-02,Thursday,5,498.998,1
"אנ""א אילת",2026-07-02,Thursday,5,730.0,1
"אנ""א בית שאן",2026-07-02,Thursday,5,700.0,2
"אנ""א חיפה",2026-07-02,Thursday,5,509.996,2
"אנ""א כרי דשא - כנרת",2026-07-02,Thursday,5,0.0,2
"אנ""א מעיין חרוד",2026-07-02,Thursday,5,569.999,1
"אנ""א מצדה",2026-07-02,Thursday,5,569.999,1
"אנ""א מצפה רמון",2026-07-02,Thursday,5,650.003,1
"אנ""א עין גדי",2026-07-02,Thursday,5,569.999,1
"אנ""א עכו",2026-07-02,Thursday,5,509.996,1
"אנ""א פוריה - כנרת",2026-07-02,Thursday,5,569.999,1
"אנ""א פקיעין",2026-07-02,Thursday,5,498.998,1
"אנ""א רבין - ירושלים",2026-07-02,Thursday,5,670.004,1
"אנ""א שלומי",2026-07-02,Thursday,5,650.003,2
"אנ""א תל אביב",2026-07-02,Thursday,5,498.998,1
"אנ""א כרי דשא - כנרת",2026-07-03,Friday,5,0.0,2
"אנ""א מצדה",2026-07-03,Friday,5,954.998,1
"אנ""א עין גדי",2026-07-03,Friday,5,650.003,1
"אנ""א פקיעין",2026-07-03,Friday,5,553.998,1
"אנ""א שלומי",2026-07-03,Friday,5,650.003,1
"אנ""א אילת",2026-07-04,Saturday,5,730.0,1
"אנ""א פקיעין",2026-07-04,Saturday,5,553.998,1
"אנ""א אגרון - ירושלים",2026-07-05,Sunday,5,553.998,1
"אנ""א אילת",2026-07-05,Sunday,5,0.0,1
"אנ""א חיפה",2026-07-05,Sunday,5,670.004,2
"אנ""א מצדה",2026-07-05,Sunday,5,600.006,1
"אנ""א מצפה רמון",2026-07-05,Sunday,5,650.003,1
"אנ""א עין גדי",2026-07-05,Sunday,5,399.996,1
"אנ""א עכו",2026-07-05,Sunday,5,509.996,1
"אנ""א פוריה - כנרת",2026-07-05,Sunday,5,608.998,1
"אנ""א פקיעין",2026-07-05,Sunday,5,399.996,1
"אנ""א רבין - ירושלים",2026-07-05,Sunday,5,670.004,1
